OID_,ID1,ID2,dist12
,1,6,0
,2,7,0
,2,8,0
,3,5,0
,3,13,0
,4,5,0
,4,9,0
,5,13,0
,5,4,0
,5,3,0
,6,1,0
,6,11,0
,7,19,0
,7,2,0
,7,8,0
,8,7,0
,8,19,0
,8,2,0
,8,10,0
,9,13,0
,9,11,0
,9,4,0
,9,14,0
,10,19,0
,10,11,0
,10,8,0
,10,22,0
,11,6,0
,11,15,0
,11,10,0
,11,22,0
,11,9,0
,11,14,0
,12,13,0
,12,44,0
,13,5,0
,13,40,0
,13,9,0
,13,14,0
,13,3,0
,13,12,0
,14,13,0
,14,11,0
,14,15,0
,14,9,0
,14,17,0
,14,43,0
,15,11,0
,15,18,0
,15,22,0
,15,14,0
,16,20,0
,17,18,0
,17,14,0
,17,21,0
,17,43,0
,18,15,0
,18,25,0
,18,17,0
,18,21,0
,19,7,0
,19,24,0
,19,8,0
,19,10,0
,19,22,0
,20,41,0
,20,16,0
,21,18,0
,21,25,0
,21,39,0
,21,17,0
,21,43,0
,21,52,0
,22,19,0
,22,24,0
,22,54,0
,22,11,0
,22,15,0
,22,25,0
,22,10,0
,22,23,0
,23,54,0
,23,25,0
,23,22,0
,24,19,0
,24,58,0
,24,22,0
,25,54,0
,25,18,0
,25,39,0
,25,55,0
,25,22,0
,25,23,0
,25,21,0
,26,27,0
,26,41,0
,26,64,0
,26,61,0
,27,41,0
,27,64,0
,27,26,0
,28,56,0
,28,60,0
,28,71,0
,28,53,0
,29,57,0
,29,72,0
,29,74,0
,29,55,0
,29,30,0
,30,54,0
,30,69,0
,30,70,0
,30,74,0
,30,29,0
,30,55,0
,30,59,0
,31,177,0
,31,175,0
,31,179,0
,31,146,0
,31,161,0
,31,163,0
,32,279,0
,32,34,0
,32,272,0
,32,286,0
,33,282,0
,33,287,0
,33,275,0
,33,276,0
,33,278,0
,33,291,0
,34,279,0
,34,277,0
,34,300,0
,34,38,0
,34,32,0
,34,286,0
,34,303,0
,35,140,0
,35,301,0
,35,270,0
,35,271,0
,35,285,0
,35,289,0
,36,265,0
,36,288,0
,36,290,0
,37,279,0
,37,283,0
,37,139,0
,37,274,0
,37,284,0
,37,38,0
,38,37,0
,38,279,0
,38,283,0
,38,34,0
,38,277,0
,38,300,0
,38,296,0
,39,25,0
,39,55,0
,39,21,0
,39,52,0
,40,13,0
,40,56,0
,40,43,0
,40,44,0
,41,27,0
,41,61,0
,41,26,0
,41,20,0
,42,61,0
,42,63,0
,42,44,0
,43,40,0
,43,14,0
,43,17,0
,43,21,0
,43,52,0
,44,40,0
,44,42,0
,44,12,0
,44,53,0
,45,46,0
,45,113,0
,45,121,0
,45,130,0
,46,113,0
,46,129,0
,46,47,0
,46,105,0
,46,45,0
,47,46,0
,47,108,0
,47,129,0
,47,111,0
,47,126,0
,47,105,0
,47,107,0
,47,116,0
,47,125,0
,48,158,0
,48,117,0
,48,128,0
,48,156,0
,49,169,0
,49,51,0
,49,200,0
,49,204,0
,50,167,0
,50,187,0
,50,202,0
,50,189,0
,51,170,0
,51,171,0
,51,192,0
,51,49,0
,51,204,0
,51,183,0
,52,56,0
,52,57,0
,52,39,0
,52,55,0
,52,21,0
,52,43,0
,53,56,0
,53,60,0
,53,63,0
,53,28,0
,53,44,0
,54,58,0
,54,25,0
,54,55,0
,54,22,0
,54,23,0
,54,30,0
,54,59,0
,55,57,0
,55,54,0
,55,25,0
,55,29,0
,55,39,0
,55,30,0
,55,52,0
,56,40,0
,56,57,0
,56,72,0
,56,52,0
,56,28,0
,56,53,0
,57,56,0
,57,72,0
,57,29,0
,57,55,0
,57,52,0
,58,24,0
,58,54,0
,58,67,0
,58,62,0
,58,65,0
,58,59,0
,59,54,0
,59,58,0
,59,69,0
,59,30,0
,60,63,0
,60,71,0
,60,73,0
,60,28,0
,60,53,0
,61,41,0
,61,64,0
,61,115,0
,61,63,0
,61,109,0
,61,42,0
,61,26,0
,62,58,0
,62,65,0
,63,60,0
,63,61,0
,63,98,0
,63,73,0
,63,109,0
,63,42,0
,63,53,0
,64,27,0
,64,115,0
,64,61,0
,64,26,0
,64,66,0
,65,58,0
,65,67,0
,65,75,0
,65,62,0
,66,64,0
,66,115,0
,66,68,0
,67,58,0
,67,75,0
,67,65,0
,67,69,0
,68,115,0
,68,66,0
,68,117,0
,69,67,0
,69,70,0
,69,91,0
,69,92,0
,69,30,0
,69,59,0
,70,69,0
,70,74,0
,70,92,0
,70,30,0
,71,72,0
,71,60,0
,71,73,0
,71,87,0
,71,28,0
,72,56,0
,72,57,0
,72,88,0
,72,74,0
,72,90,0
,72,29,0
,72,71,0
,72,87,0
,73,60,0
,73,63,0
,73,71,0
,73,86,0
,73,87,0
,74,72,0
,74,70,0
,74,89,0
,74,90,0
,74,29,0
,74,30,0
,75,67,0
,75,97,0
,75,65,0
,75,99,0
,75,91,0
,76,237,0
,76,221,0
,76,236,0
,76,198,0
,76,199,0
,76,207,0
,76,214,0
,76,240,0
,77,234,0
,77,78,0
,77,194,0
,77,242,0
,77,243,0
,78,233,0
,78,210,0
,78,77,0
,78,243,0
,79,201,0
,79,205,0
,79,80,0
,80,201,0
,80,79,0
,80,244,0
,81,234,0
,81,235,0
,81,186,0
,81,195,0
,81,238,0
,82,83,0
,82,215,0
,82,226,0
,83,201,0
,83,82,0
,83,206,0
,83,226,0
,84,231,0
,84,256,0
,84,229,0
,84,260,0
,84,265,0
,85,279,0
,85,267,0
,85,205,0
,85,222,0
,85,206,0
,85,226,0
,86,98,0
,86,73,0
,86,87,0
,86,94,0
,87,72,0
